name,calories,protein,fat,carbohydrates,diet_type,category,region,meal_time
Hakka Noodles 46,591.4,3.6,37.9,78.5,vegetarian,breakfast,East India,afternoon
Modak 25,354.1,16.7,38.6,71.9,vegetarian,dinner,West India,night
Mutton Curry 86,434.9,16.4,19.8,76.6,vegan,lunch,North India,evening
Egg Curry 11,180.4,7.2,28.6,23.9,non-vegetarian,dessert,Pan India,night
Misal Pav 47,522.2,23.7,19.2,12.0,non-vegetarian,lunch,South India,night
Malai Kofta 44,384.3,28.1,15.3,55.8,vegan,breakfast,Pan India,evening
Modak 38,544.9,16.6,29.6,48.5,eggetarian,dinner,South India,night
Chicken Biryani 1,456.4,29.2,9.7,14.5,non-vegetarian,dinner,South India,afternoon
Idli 3,557.6,24.5,30.2,28.6,eggetarian,snack,South India,afternoon
Kofta Curry 83,203.3,6.4,19.5,39.4,vegan,dessert,West India,afternoon
Samosa 68,343.5,2.2,25.0,58.5,vegetarian,breakfast,Pan India,morning
Sambar 89,267.2,7.0,4.0,57.7,eggetarian,dinner,East India,afternoon
Mutton Curry 14,221.7,24.5,30.7,62.0,non-vegetarian,dessert,South India,afternoon
Chicken 65 66,322.0,5.6,20.4,42.0,eggetarian,dinner,North India,morning
Dal Tadka 54,452.9,14.1,34.6,58.8,eggetarian,lunch,North India,evening
Modak 55,509.4,9.5,24.4,54.5,vegan,snack,Pan India,morning
Aloo Tikki 71,389.8,16.1,35.2,22.3,eggetarian,dinner,West India,night
Tamarind Rice 56,396.0,26.9,24.9,68.2,eggetarian,breakfast,East India,afternoon
Pakora 24,567.4,27.7,29.8,46.8,vegan,breakfast,South India,evening
Pav Bhaji 63,447.9,20.2,19.0,19.7,vegan,lunch,South India,morning
Paneer Tikka 58,219.0,21.1,8.7,25.6,eggetarian,snack,North India,evening
Veg Momos 94,520.8,28.3,10.4,39.8,eggetarian,dessert,Pan India,night
Baingan Bharta 16,325.7,15.0,3.4,46.0,non-vegetarian,dinner,North India,night
Mutton Curry 5,255.8,15.1,19.6,36.5,non-vegetarian,lunch,North India,evening
Butter Naan 91,500.9,25.0,26.1,48.4,non-vegetarian,dinner,West India,afternoon
Vegetable Pulao 41,249.3,8.4,15.9,73.8,vegan,lunch,West India,evening
Roti 67,444.0,17.8,10.2,77.0,vegetarian,dinner,East India,afternoon
Vada Pav 34,204.8,27.1,6.5,21.2,vegan,lunch,West India,morning
Lemon Rice 13,487.4,10.8,27.6,44.2,non-vegetarian,breakfast,North India,afternoon
Poha 70,596.6,26.4,26.5,13.7,vegan,dinner,East India,evening
Paneer Tikka 4,126.8,8.5,13.9,24.1,vegan,dessert,West India,night
Poha 54,141.9,6.0,31.5,56.3,vegan,dinner,North India,night
Roti 1,338.8,15.7,22.3,32.4,vegan,dinner,East India,night
Lemon Rice 35,512.6,18.6,17.7,52.8,vegetarian,dinner,East India,evening
Curd Rice 69,538.8,18.4,37.4,60.2,eggetarian,dinner,South India,afternoon
Upma 86,466.2,23.9,22.2,70.4,vegetarian,lunch,South India,evening
Kofta Curry 78,426.3,20.7,5.5,75.6,non-vegetarian,dinner,North India,morning
Butter Naan 19,390.0,29.6,15.2,18.3,vegetarian,dessert,Pan India,morning
Dal Tadka 2,561.4,9.3,26.4,77.9,vegan,dinner,South India,afternoon
Gajar Halwa 44,523.9,18.9,34.3,35.4,vegan,dessert,South India,morning
Upma 52,512.1,24.7,14.0,33.2,vegetarian,dinner,East India,evening
Gulab Jamun 90,369.3,29.0,39.2,77.8,non-vegetarian,dinner,Pan India,night
Kadhi 27,115.7,8.9,2.9,47.6,vegetarian,snack,North India,morning
Besan Chilla 97,587.2,3.1,28.2,36.1,vegan,lunch,North India,afternoon
Shrikhand 5,235.0,16.1,32.1,39.3,vegan,lunch,North India,evening
Tamarind Rice 32,314.0,2.2,34.3,46.6,eggetarian,breakfast,North India,morning
Masala Chai 25,194.4,2.9,12.4,59.9,vegetarian,breakfast,Pan India,morning
Aloo Tikki 32,137.8,11.2,12.8,64.8,non-vegetarian,breakfast,South India,morning
Aloo Paratha 56,359.8,5.2,25.6,21.3,eggetarian,dessert,West India,morning
Chicken Biryani 48,332.1,14.1,33.4,31.5,vegetarian,lunch,South India,afternoon
Chicken 65 28,529.4,14.5,39.9,19.0,vegan,lunch,North India,evening
Chicken Biryani 56,366.3,16.4,18.6,56.3,eggetarian,breakfast,Pan India,morning
Chole Bhature 54,426.8,23.9,9.4,19.7,vegan,breakfast,Pan India,morning
Dosa 11,312.0,12.9,23.7,34.8,eggetarian,breakfast,West India,evening
Baingan Bharta 65,449.9,17.3,22.7,33.7,vegetarian,lunch,West India,morning
Egg Curry 96,359.6,17.6,17.6,13.1,vegan,dessert,Pan India,afternoon
Chole Bhature 43,562.0,11.6,35.6,71.8,vegetarian,breakfast,North India,night
Kadhi 59,481.1,26.6,26.7,62.7,vegetarian,lunch,North India,afternoon
Paneer Butter Masala 68,335.0,11.5,24.3,38.0,vegetarian,dessert,South India,morning
Aloo Tikki 7,382.9,15.7,29.8,43.0,vegan,snack,East India,afternoon
Lassi 28,131.7,19.0,26.3,51.8,vegan,dinner,Pan India,evening
Malai Kofta 73,297.7,7.6,38.2,76.2,vegetarian,lunch,Pan India,morning
Samosa 2,437.0,18.7,23.4,79.5,vegan,breakfast,South India,night
Paneer Butter Masala 85,271.7,9.8,34.6,16.2,vegan,breakfast,West India,afternoon
Aloo Tikki 97,287.6,15.1,22.6,69.6,eggetarian,lunch,West India,evening
Modak 74,167.1,12.4,21.8,32.7,non-vegetarian,lunch,South India,afternoon
Dosa 5,438.2,6.2,27.7,73.3,vegetarian,breakfast,South India,morning
Rajma Chawal 54,290.7,4.8,19.6,32.0,vegan,dessert,West India,morning
Aloo Paratha 87,195.0,13.5,31.8,26.1,non-vegetarian,breakfast,North India,evening
Khichdi 24,383.9,7.6,20.5,45.5,eggetarian,dessert,West India,night
Vegetable Pulao 34,129.0,11.0,1.9,63.0,eggetarian,breakfast,North India,morning
Hakka Noodles 62,312.8,15.9,36.3,68.1,eggetarian,dinner,Pan India,morning
Palak Paneer 99,140.0,7.3,21.9,27.7,non-vegetarian,lunch,South India,morning
Sambar 64,369.4,29.9,39.6,32.2,eggetarian,snack,Pan India,afternoon
Chicken 65 24,117.3,8.6,9.1,43.7,vegan,dessert,South India,afternoon
Tamarind Rice 66,355.8,5.4,29.3,13.3,vegan,dessert,South India,afternoon
Gajar Halwa 5,375.5,27.3,23.0,47.0,vegan,dinner,Pan India,morning
Veg Momos 73,557.8,9.5,33.9,38.0,vegetarian,dinner,North India,morning
Chicken Biryani 71,156.3,14.6,21.7,54.1,eggetarian,breakfast,North India,morning
Masala Chai 70,451.0,9.5,22.5,30.7,vegan,dinner,South India,morning
Fish Curry 39,124.5,8.7,40.0,70.9,non-vegetarian,lunch,West India,night
Malai Kofta 82,173.6,9.1,20.6,62.8,vegetarian,breakfast,South India,afternoon
Kheer 15,555.7,9.7,11.0,11.0,eggetarian,dinner,East India,night
Chicken Biryani 92,301.2,23.0,35.4,55.8,vegan,dinner,West India,morning
Baingan Bharta 46,218.5,12.7,15.7,77.4,vegetarian,dessert,West India,morning
Khichdi 2,559.6,2.7,16.7,19.5,non-vegetarian,dessert,East India,evening
Vegetable Pulao 51,367.3,26.2,35.5,37.6,vegetarian,lunch,South India,morning
Lemon Rice 98,184.3,25.2,30.2,12.6,vegetarian,dinner,East India,morning
Tamarind Rice 5,301.3,22.6,33.7,16.4,vegetarian,dinner,South India,afternoon
Lassi 57,598.9,23.0,29.1,56.6,vegetarian,dessert,West India,afternoon
Rajma Chawal 51,393.2,18.3,10.2,40.5,non-vegetarian,dinner,Pan India,evening
Dal Tadka 6,421.5,24.1,16.4,69.6,vegetarian,snack,East India,afternoon
Kheer 24,215.2,10.8,33.4,30.8,vegetarian,lunch,East India,night
Egg Curry 68,260.3,4.8,16.5,54.5,vegan,dinner,East India,night
Shrikhand 5,213.8,8.9,23.7,75.3,eggetarian,breakfast,Pan India,night
Fish Curry 87,365.6,3.3,35.1,32.0,non-vegetarian,dinner,East India,afternoon
Tamarind Rice 89,592.4,7.2,33.3,18.5,non-vegetarian,lunch,Pan India,evening
Lassi 96,439.6,27.8,9.9,74.3,vegan,dinner,Pan India,afternoon
Tandoori Chicken 65,361.8,4.3,32.1,47.2,eggetarian,dinner,Pan India,afternoon
Idli 2,414.8,2.9,29.6,42.1,vegetarian,dinner,South India,morning
Fish Curry 91,536.8,21.1,18.8,41.9,vegetarian,dessert,South India,afternoon
Paneer Tikka 83,561.1,12.9,33.1,39.2,eggetarian,lunch,South India,night
Shrikhand 96,321.3,27.1,6.8,69.9,vegetarian,snack,Pan India,evening
Vada Pav 31,408.2,15.1,21.7,65.9,vegan,snack,East India,afternoon
Poha 60,169.9,19.3,36.8,32.0,vegetarian,snack,South India,evening
Vada Pav 94,331.5,3.1,8.2,15.0,vegetarian,snack,North India,night
Kadhi 23,187.6,26.5,39.0,25.6,non-vegetarian,dessert,Pan India,night
Kofta Curry 96,321.6,3.2,30.9,25.2,vegetarian,snack,North India,morning
Tandoori Chicken 98,564.1,7.4,37.2,73.4,eggetarian,lunch,North India,night
Dhokla 94,247.0,10.4,36.2,19.1,vegetarian,snack,Pan India,evening
Aloo Paratha 38,353.6,26.6,2.8,49.6,vegan,dessert,Pan India,morning
Pav Bhaji 22,463.0,19.3,10.4,19.0,eggetarian,snack,East India,night
Palak Paneer 72,273.6,29.1,26.1,46.5,vegetarian,dinner,West India,evening
Idli 56,423.3,11.0,30.6,37.3,vegan,dinner,West India,evening
Idli 16,324.9,23.2,10.9,25.4,non-vegetarian,dessert,North India,night
Tandoori Chicken 53,280.8,15.2,9.2,32.6,vegetarian,breakfast,North India,night
Hakka Noodles 86,184.4,16.7,10.2,30.6,eggetarian,snack,West India,night
Paneer Butter Masala 52,484.4,13.9,15.0,53.7,vegetarian,lunch,West India,morning
Butter Naan 18,396.8,21.7,5.7,58.9,eggetarian,dessert,West India,evening
Dosa 35,476.4,21.3,20.5,48.6,vegan,breakfast,West India,morning
Baingan Bharta 25,220.7,26.3,11.2,63.7,vegan,breakfast,West India,afternoon
Mutton Curry 94,332.5,16.8,27.5,22.2,vegan,dinner,North India,night
Curd Rice 10,333.8,10.7,3.0,76.8,non-vegetarian,breakfast,North India,afternoon
Masala Chai 32,271.4,29.8,35.0,78.3,non-vegetarian,dinner,North India,morning
Aloo Paratha 98,266.9,27.3,29.2,35.8,eggetarian,snack,East India,morning
Egg Curry 4,180.8,14.7,31.1,12.8,eggetarian,dinner,South India,morning
Modak 43,556.7,5.5,35.5,58.8,non-vegetarian,dessert,South India,morning
Butter Naan 36,316.9,28.6,5.2,77.0,vegan,breakfast,East India,afternoon
Dhokla 60,403.8,29.0,27.7,70.6,vegetarian,breakfast,South India,night
Kofta Curry 57,315.2,7.1,24.7,58.7,non-vegetarian,dessert,East India,afternoon
Pav Bhaji 88,114.0,23.6,36.2,32.7,non-vegetarian,dinner,Pan India,evening
Sambar 49,347.7,3.1,36.5,49.0,eggetarian,dinner,East India,night
Idli 91,514.4,4.0,38.5,64.3,vegan,lunch,Pan India,afternoon
Rajma Chawal 25,268.5,9.9,17.4,34.0,vegetarian,dessert,South India,night
Palak Paneer 78,215.4,13.9,34.9,39.0,non-vegetarian,dessert,Pan India,morning
Vada Pav 65,287.1,4.4,2.8,43.1,eggetarian,dessert,West India,morning
Masala Chai 87,422.5,9.4,17.9,45.2,non-vegetarian,dinner,South India,morning
Chole Bhature 33,134.2,23.2,3.4,31.2,vegetarian,lunch,South India,morning
Veg Momos 51,470.5,22.2,14.8,60.2,vegetarian,dinner,East India,morning
Lassi 61,354.4,25.6,36.6,53.4,vegan,breakfast,West India,afternoon
Shrikhand 82,567.8,9.2,30.3,34.7,non-vegetarian,dessert,North India,afternoon
Masala Chai 62,450.3,27.4,35.3,45.9,non-vegetarian,lunch,South India,afternoon
Mutton Curry 6,367.2,18.5,38.9,50.5,non-vegetarian,dessert,West India,afternoon
Aloo Tikki 4,217.9,13.6,12.1,28.2,vegan,dinner,Pan India,night
Dal Tadka 60,262.8,23.6,32.0,43.7,eggetarian,lunch,South India,afternoon
Rajma Chawal 14,279.7,10.0,29.7,16.1,non-vegetarian,breakfast,Pan India,evening
Tandoori Chicken 90,437.0,5.5,10.9,13.0,vegan,dinner,North India,morning
Egg Curry 3,481.4,4.0,19.7,56.0,eggetarian,lunch,South India,night
Rajma Chawal 18,143.3,9.5,21.2,53.4,vegetarian,dessert,North India,afternoon
Shrikhand 77,170.2,14.6,25.0,76.9,eggetarian,dinner,North India,evening
Rasam 71,209.2,21.2,3.5,65.8,vegetarian,dessert,South India,evening
Idli 42,489.2,10.1,21.7,48.7,eggetarian,dessert,West India,morning
Masala Chai 7,507.9,6.4,5.0,30.8,vegan,lunch,South India,morning
Chole Bhature 68,557.1,9.4,7.7,37.0,non-vegetarian,dinner,Pan India,night
Dosa 97,301.6,18.9,27.5,31.4,vegan,snack,South India,evening
Lassi 11,193.9,19.8,33.0,16.3,eggetarian,lunch,North India,afternoon
Fish Curry 77,463.8,8.7,25.7,52.9,vegetarian,lunch,East India,afternoon
Khichdi 18,574.4,12.4,27.0,17.4,vegan,lunch,North India,afternoon
Gajar Halwa 46,582.7,28.0,39.7,15.5,vegan,dinner,South India,morning
Malai Kofta 85,513.3,11.9,31.9,39.1,eggetarian,breakfast,North India,afternoon
Lassi 42,416.4,15.1,18.9,70.2,vegetarian,lunch,Pan India,night
Besan Chilla 44,565.6,25.2,11.0,22.0,non-vegetarian,lunch,East India,evening
Tandoori Chicken 13,165.6,19.3,2.0,33.7,vegetarian,dessert,East India,afternoon
Samosa 45,193.0,9.9,19.8,33.6,vegan,dinner,West India,afternoon
Kheer 85,224.6,22.1,15.2,68.4,vegan,breakfast,Pan India,evening
Butter Naan 38,203.6,14.6,2.3,11.9,non-vegetarian,lunch,East India,night
Veg Momos 25,216.3,4.3,33.9,35.7,vegan,dessert,South India,afternoon
Chicken Biryani 63,540.1,12.9,37.7,40.9,vegetarian,snack,South India,night
Upma 58,348.9,15.8,38.6,34.0,non-vegetarian,dessert,East India,evening
Chicken 65 59,430.4,25.1,33.4,48.7,vegan,dessert,South India,afternoon
Roti 11,167.7,27.1,27.2,15.0,vegan,dessert,East India,afternoon
Fish Curry 19,267.3,10.5,19.5,59.6,non-vegetarian,dessert,Pan India,morning
Jalebi 47,594.3,13.5,39.7,59.1,vegan,dessert,Pan India,morning
Fish Curry 61,597.5,6.0,3.3,33.7,eggetarian,lunch,Pan India,night
Aloo Tikki 69,274.5,20.3,27.9,52.9,eggetarian,breakfast,North India,afternoon
Vada Pav 67,126.8,21.6,34.6,27.2,eggetarian,lunch,West India,morning
Veg Momos 28,136.5,30.0,40.0,22.1,vegetarian,dinner,Pan India,night
Rasam 74,364.4,15.0,22.4,13.9,non-vegetarian,snack,North India,morning
Modak 2,513.9,8.8,16.9,22.5,vegetarian,dessert,Pan India,afternoon
Tandoori Chicken 63,341.4,20.7,16.4,27.5,vegetarian,dessert,East India,night
Butter Naan 75,581.1,10.7,39.0,29.8,non-vegetarian,dinner,North India,evening
Baingan Bharta 24,104.9,2.8,6.7,58.9,vegan,dessert,North India,afternoon
Baingan Bharta 49,504.6,24.4,2.9,18.5,vegetarian,dinner,West India,evening
Rajma Chawal 53,157.9,7.7,35.1,34.1,vegan,breakfast,North India,afternoon
Veg Momos 80,385.0,18.5,13.3,55.4,eggetarian,dessert,West India,evening
Modak 35,113.2,16.9,8.4,51.5,vegan,dessert,East India,evening
Thepla 17,365.9,26.9,11.8,10.1,vegetarian,breakfast,West India,night
Bhindi Masala 46,250.0,16.9,18.1,72.4,eggetarian,breakfast,South India,morning
Tamarind Rice 65,589.2,16.1,7.9,70.2,non-vegetarian,lunch,South India,evening
Gulab Jamun 99,107.4,26.2,7.0,30.4,eggetarian,lunch,East India,morning
Lemon Rice 50,146.3,19.1,2.2,69.0,eggetarian,dinner,North India,morning
Paneer Butter Masala 62,288.1,15.5,3.5,22.6,vegetarian,lunch,West India,evening
Misal Pav 41,167.8,16.8,28.5,70.5,eggetarian,lunch,East India,afternoon
Lemon Rice 75,578.1,23.6,17.4,19.1,non-vegetarian,dessert,West India,night
Pakora 57,356.6,17.0,38.4,52.3,vegan,breakfast,Pan India,night
Veg Momos 59,342.1,4.9,4.6,23.1,eggetarian,lunch,Pan India,evening
Shrikhand 60,523.7,2.2,13.1,57.3,eggetarian,dinner,South India,evening
Baingan Bharta 67,534.1,26.6,13.2,56.4,eggetarian,dinner,West India,morning
Paneer Tikka 37,347.9,25.4,12.1,18.7,vegan,dinner,Pan India,afternoon
Tamarind Rice 10,227.2,8.9,22.7,60.4,vegan,dinner,North India,night
Roti 18,245.5,9.5,37.8,52.9,eggetarian,lunch,East India,evening
Thepla 98,286.8,24.6,34.0,70.7,vegan,snack,West India,evening
Shrikhand 42,180.6,25.8,17.6,28.4,vegan,dessert,East India,night
Palak Paneer 48,440.8,9.7,11.4,49.9,non-vegetarian,lunch,Pan India,morning
Chole Bhature 61,365.3,23.3,1.5,63.5,non-vegetarian,breakfast,North India,morning
Shrikhand 86,370.2,15.3,9.9,61.4,vegetarian,snack,South India,morning
Chicken Biryani 64,508.3,27.0,3.7,27.5,vegetarian,dinner,South India,morning
Jalebi 13,298.6,4.6,26.9,42.0,vegan,dessert,East India,evening
Modak 22,246.1,19.8,27.9,27.6,non-vegetarian,lunch,North India,evening
Lemon Rice 23,203.3,13.7,29.7,63.0,non-vegetarian,dinner,West India,night
Jalebi 51,292.0,19.9,20.3,70.4,vegetarian,dessert,Pan India,night
Chicken Biryani 32,383.5,20.0,5.6,41.2,non-vegetarian,lunch,South India,morning
Gulab Jamun 40,111.3,22.1,20.8,50.0,vegetarian,snack,South India,evening
Roti 16,338.7,15.0,25.2,55.7,vegan,breakfast,Pan India,afternoon
Chicken Biryani 46,377.2,4.1,31.6,60.3,non-vegetarian,dinner,South India,morning
Upma 7,119.6,5.2,33.5,51.8,vegetarian,dessert,East India,morning
Malai Kofta 14,362.6,13.3,27.3,78.4,non-vegetarian,breakfast,South India,evening
Curd Rice 51,562.1,7.4,39.1,63.9,vegetarian,breakfast,South India,afternoon
Rasam 96,248.3,12.0,12.3,13.4,vegetarian,breakfast,East India,afternoon
Shrikhand 1,215.2,21.8,26.5,60.6,vegetarian,dinner,East India,night
Chicken Biryani 31,363.4,23.9,17.2,10.6,vegetarian,dessert,North India,evening
Malai Kofta 61,429.4,11.7,36.8,39.4,vegan,dinner,West India,morning
Lassi 82,586.3,29.7,38.7,44.1,non-vegetarian,lunch,East India,morning
Idli 69,138.0,28.8,24.1,40.0,vegan,dessert,East India,night
Bhindi Masala 25,234.4,13.4,22.4,38.4,vegetarian,dinner,East India,morning
Rajma Chawal 98,509.5,16.6,37.6,48.1,non-vegetarian,snack,South India,night
Kheer 60,531.4,13.8,30.9,17.7,vegan,breakfast,South India,evening
Rasam 72,463.9,5.8,31.9,59.8,eggetarian,dinner,East India,evening
Kadhi 33,327.6,17.2,4.9,32.5,non-vegetarian,dessert,West India,night
Roti 16,418.7,10.1,4.2,62.9,eggetarian,dessert,West India,night
Butter Naan 71,121.9,26.2,7.4,63.0,eggetarian,lunch,South India,afternoon
Kofta Curry 47,367.7,24.9,27.8,57.7,eggetarian,snack,West India,evening
Dhokla 2,206.7,25.5,12.9,77.7,vegan,lunch,Pan India,evening
Gulab Jamun 20,338.1,26.7,21.2,48.1,non-vegetarian,dessert,Pan India,morning
Rasam 59,197.3,4.2,28.3,39.3,eggetarian,breakfast,Pan India,night
Curd Rice 83,213.6,20.8,14.9,45.7,non-vegetarian,breakfast,Pan India,evening
Modak 19,573.8,22.2,38.8,16.1,non-vegetarian,dessert,West India,evening
Mutton Curry 7,199.2,2.8,36.5,39.8,non-vegetarian,dessert,Pan India,afternoon
Masala Chai 94,386.9,18.5,15.3,45.2,vegetarian,dinner,East India,night
Tamarind Rice 38,194.9,28.6,20.1,67.4,non-vegetarian,lunch,South India,afternoon
Bhindi Masala 28,126.0,23.3,29.5,42.9,vegetarian,snack,Pan India,afternoon
Vada Pav 52,575.3,18.2,26.6,21.1,vegan,dessert,West India,morning
Chicken 65 41,118.5,19.9,31.7,34.8,vegan,lunch,North India,night
Modak 83,384.9,22.0,15.7,73.7,vegetarian,dinner,East India,afternoon
Vegetable Pulao 85,322.3,8.6,1.7,10.7,vegan,snack,East India,afternoon
Lassi 87,370.9,26.4,10.4,41.0,vegetarian,lunch,Pan India,evening
Curd Rice 93,528.6,16.8,25.4,21.7,eggetarian,lunch,South India,morning
Paneer Tikka 42,273.0,19.9,11.3,75.4,vegetarian,breakfast,Pan India,evening
Pav Bhaji 4,559.8,23.0,4.5,79.6,vegan,lunch,North India,morning
Paneer Butter Masala 30,451.0,19.3,2.0,71.8,non-vegetarian,breakfast,Pan India,night
Dal Tadka 80,336.1,17.8,18.0,26.5,vegan,breakfast,South India,morning
Mutton Curry 72,420.1,10.1,5.9,70.9,eggetarian,dessert,West India,afternoon
Paneer Butter Masala 67,228.1,11.0,32.8,26.2,eggetarian,breakfast,North India,evening
Malai Kofta 43,593.6,16.8,33.7,79.8,vegan,dinner,East India,evening
Besan Chilla 49,382.4,8.5,29.3,37.6,vegetarian,dinner,West India,night
Mutton Curry 78,386.0,23.3,14.6,56.2,vegetarian,snack,Pan India,afternoon
Veg Momos 86,405.3,20.1,24.8,65.0,vegan,dinner,West India,evening
Malai Kofta 65,334.2,26.4,2.0,67.4,vegan,lunch,Pan India,morning
Paneer Tikka 56,564.5,18.8,24.5,16.6,eggetarian,dinner,East India,afternoon
Upma 45,589.2,25.5,17.3,56.2,vegetarian,lunch,South India,night
Gulab Jamun 2,450.8,24.8,2.9,19.7,non-vegetarian,dessert,West India,evening
Aloo Tikki 3,549.1,24.8,36.9,11.2,vegetarian,dessert,Pan India,morning
Bhindi Masala 67,201.0,23.0,2.7,74.5,vegan,breakfast,East India,night
Chole Bhature 31,198.1,3.5,34.1,71.0,vegetarian,snack,North India,afternoon
Shrikhand 88,396.0,7.6,13.2,71.9,vegetarian,snack,South India,morning
Dosa 85,481.0,28.6,15.5,73.1,eggetarian,dinner,North India,morning
Veg Momos 45,238.6,25.0,20.2,75.9,vegan,lunch,West India,evening
Vegetable Pulao 96,120.4,12.2,7.8,42.8,eggetarian,dessert,Pan India,night
Gulab Jamun 45,345.4,24.6,29.1,69.7,vegetarian,lunch,West India,night
Baingan Bharta 4,525.0,3.7,23.6,71.6,vegan,dessert,North India,afternoon
Curd Rice 64,539.9,21.5,28.2,20.1,eggetarian,dinner,North India,evening
Baingan Bharta 61,598.6,9.6,2.1,59.1,eggetarian,dessert,East India,morning
Gajar Halwa 38,594.9,28.5,5.5,54.7,vegetarian,snack,North India,evening
Curd Rice 74,244.8,22.7,29.5,76.8,eggetarian,dessert,East India,night
Gajar Halwa 69,119.0,18.1,11.0,41.6,non-vegetarian,lunch,South India,morning
Kheer 94,424.8,22.2,14.1,20.0,vegan,snack,South India,evening
Kofta Curry 30,228.0,15.2,39.1,79.1,eggetarian,dinner,West India,night
Paneer Butter Masala 23,533.1,10.0,16.4,35.6,vegetarian,dinner,East India,night
Lassi 78,517.6,9.8,38.4,74.4,eggetarian,dessert,North India,morning
Egg Curry 42,397.6,23.1,38.6,76.0,eggetarian,dessert,West India,night
Gajar Halwa 19,307.1,2.8,31.6,65.3,eggetarian,lunch,Pan India,night
Poha 56,529.0,10.4,8.8,66.2,non-vegetarian,lunch,Pan India,afternoon
Shrikhand 59,413.4,16.3,29.4,63.8,vegetarian,dinner,East India,evening
Lassi 49,320.8,29.5,2.3,25.4,non-vegetarian,lunch,East India,night
Chicken Biryani 55,563.1,7.9,24.8,25.5,vegetarian,breakfast,West India,morning
Dosa 31,357.1,5.4,17.9,32.1,vegan,dinner,South India,morning
Palak Paneer 43,159.8,24.6,21.2,57.8,vegetarian,dinner,East India,morning
Mutton Curry 19,349.7,8.6,28.1,52.5,eggetarian,breakfast,East India,morning
Roti 52,330.2,3.6,2.6,61.3,vegetarian,dinner,Pan India,evening
Dhokla 66,190.6,13.3,26.1,73.7,eggetarian,dinner,West India,afternoon
Modak 85,104.8,12.1,17.5,61.6,vegan,lunch,North India,evening
Shrikhand 23,441.6,20.5,22.6,65.8,vegan,dessert,West India,night
Veg Momos 96,313.5,20.2,10.8,66.4,vegetarian,lunch,South India,night
Besan Chilla 47,174.7,25.1,28.3,65.9,vegetarian,dinner,West India,afternoon
Misal Pav 8,146.1,11.2,8.2,49.7,eggetarian,lunch,South India,evening
Chicken 65 24,232.6,16.8,12.5,56.1,vegan,breakfast,South India,afternoon
Chole Bhature 62,374.0,19.0,9.1,26.3,vegan,dessert,West India,morning
Fish Curry 83,323.7,25.6,26.9,37.4,eggetarian,breakfast,North India,afternoon
Hakka Noodles 98,202.4,19.0,31.2,73.5,non-vegetarian,snack,South India,night
Dhokla 1,384.3,18.9,1.1,69.8,vegetarian,lunch,South India,evening
Kofta Curry 48,587.9,9.6,15.6,28.3,eggetarian,snack,South India,night
Poha 40,425.9,15.9,38.6,47.8,vegan,snack,West India,morning
Paneer Butter Masala 11,536.7,6.5,3.9,43.2,vegan,lunch,East India,afternoon
Aloo Tikki 14,498.9,24.9,2.2,22.9,eggetarian,dinner,West India,afternoon
Fish Curry 31,481.5,29.1,23.9,39.5,vegetarian,breakfast,South India,night
Khichdi 35,173.0,27.6,37.5,27.0,vegan,dinner,Pan India,morning
Gulab Jamun 70,358.9,18.1,8.8,69.3,non-vegetarian,dinner,West India,evening
Roti 70,375.5,2.7,3.6,55.0,vegan,breakfast,Pan India,evening
Misal Pav 46,342.5,15.6,14.2,60.9,eggetarian,lunch,Pan India,morning
Khichdi 53,531.3,29.8,6.5,20.9,eggetarian,breakfast,South India,morning
Vada Pav 8,577.9,5.0,25.4,38.6,non-vegetarian,dinner,South India,afternoon
Butter Naan 61,362.5,4.5,2.6,58.0,vegan,dessert,South India,night
Rajma Chawal 39,319.4,9.4,5.2,10.0,non-vegetarian,snack,East India,evening
Gajar Halwa 28,160.9,24.0,1.8,31.5,vegetarian,lunch,East India,night
Dhokla 7,527.6,9.6,22.7,75.5,vegan,dinner,South India,evening
Idli 41,372.4,8.4,34.6,46.2,non-vegetarian,dessert,Pan India,morning
Pakora 4,433.9,12.4,31.7,24.1,eggetarian,snack,North India,afternoon
Dhokla 7,422.6,6.9,14.9,65.2,vegan,snack,South India,evening
Dhokla 91,241.7,25.1,30.7,60.9,non-vegetarian,lunch,Pan India,evening
Fish Curry 26,244.9,6.7,31.5,48.9,vegan,snack,South India,afternoon
Fish Curry 73,519.6,12.9,11.6,14.3,eggetarian,lunch,North India,evening
Aloo Paratha 52,505.0,6.7,39.3,24.8,vegetarian,dessert,North India,afternoon
Gajar Halwa 47,416.7,14.7,5.7,19.9,vegan,breakfast,East India,morning
Khichdi 30,295.5,7.2,27.4,68.9,non-vegetarian,lunch,East India,night
Vegetable Pulao 66,533.4,25.5,35.3,29.0,non-vegetarian,lunch,East India,night
Misal Pav 10,403.1,11.6,18.2,61.9,eggetarian,lunch,South India,morning
Sambar 12,254.7,14.5,33.7,65.5,vegetarian,dinner,North India,morning
Aloo Paratha 20,400.2,2.6,24.4,54.9,eggetarian,snack,East India,evening
Kadhi 83,382.6,24.0,24.9,65.9,eggetarian,breakfast,North India,night
Thepla 56,210.4,5.3,12.5,36.0,eggetarian,dinner,East India,afternoon
Veg Momos 39,169.6,19.5,24.3,29.3,vegan,dinner,North India,afternoon
